history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
RTSI;RTSI;2013-02-27;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1530,52;1531,66;1535,42;1525,56;727744505,8374;;;2;158137640423,587;USD;999999,999999
RTSI;RTSI;2013-02-26;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1530,82;1565,07;1567,11;1524,46;944069187,8351;;;2;158168787990,115;USD;999999,999999
RTSI;RTSI;2013-02-25;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1565,07;1551,04;1567,29;1549,05;599459399,0509;;;2;161707396368,257;USD;999999,999999
RTSI;RTSI;2013-02-22;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1551,04;1545,59;1558,19;1544,36;657480028,5755;;;2;160257800553,133;USD;999999,999999
RTSI;RTSI;2013-02-21;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1548,76;1582,63;1583,25;1545,4;1108041722,9507;;;2;160022296922,265;USD;999999,999999
RTSI;RTSI;2013-02-20;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1582,63;1592,74;1597,68;1582,24;959818585,7214;;;2;163522303754,321;USD;999999,999999
RTSI;RTSI;2013-02-19;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1592,74;1578,65;1593,38;1577,86;916632904,2865;;;2;164566551796,975;USD;999999,999999
RTSI;RTSI;2013-02-18;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1578,65;1577,26;1580,9;1566,41;729460078,8923;;;2;163111266953,251;USD;999999,999999
RTSI;RTSI;2013-02-15;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1577,26;1588,31;1589,35;1567,81;1029648055,2898;;;2;162966892313,996;USD;999999,999999
RTSI;RTSI;2013-02-14;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1588,31;1612,55;1623,28;1582,85;1700985751,2461;;;2;164108478402,03;USD;999999,999999
RTSI;RTSI;2013-02-13;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1612,65;1582,35;1615,58;1582,35;1425964367,3018;;;2;166623938138,818;USD;999999,999999
RTSI;RTSI;2013-02-12;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1582,35;1581,95;1590,31;1574,3;992520230,3243;;;2;163493027173,278;USD;999999,999999
RTSI;RTSI;2013-02-11;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1581,95;1590,13;1595,99;1581,7;780479120,0738;;;2;163452036227,047;USD;999999,999999
RTSI;RTSI;2013-02-08;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1590,13;1595,36;1596,88;1577,74;1007327464,3728;;;2;164296573853,726;USD;999999,999999
RTSI;RTSI;2013-02-07;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1595,36;1602,99;1607,27;1592,43;844298730,3286;;;2;164837185125,972;USD;999999,999999
RTSI;RTSI;2013-02-06;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1602,99;1614,09;1630,74;1599;1152388200,1824;;;2;165625400279,543;USD;999999,999999
RTSI;RTSI;2013-02-05;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1614,09;1612,52;1617,26;1599,47;745062855,6986;;;2;166772749744,397;USD;999999,999999
RTSI;RTSI;2013-02-04;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1612,52;1628,26;1637,62;1610,94;854641899,5103;;;2;166610343790,835;USD;999999,999999
RTSI;RTSI;2013-02-01;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1628,31;1621,71;1635,71;1620,31;1158209320,235;;;2;168241638464,417;USD;999999,999999
RTSI;RTSI;2013-01-31;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1622,13;1618,71;1623,63;1608,46;1584389165,9137;;;2;167603114463,813;USD;999999,999999
RTSI;RTSI;2013-01-30;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1618,77;1623,87;1636,03;1612,42;1362330795,2339;;;2;167255879082,896;USD;999999,999999
RTSI;RTSI;2013-01-29;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1623,87;1635,5;1637;1618,96;1190666910,7079;;;2;167782621744,802;USD;999999,999999
RTSI;RTSI;2013-01-28;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1635,5;1618,84;1638,08;1615,04;1238560855,7382;;;2;168984334167,999;USD;999999,999999
RTSI;RTSI;2013-01-25;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1618,84;1604,66;1620,43;1597,75;905098723,1042;;;2;167263711797,865;USD;999999,999999
RTSI;RTSI;2013-01-24;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1604,65;1605,36;1605,36;1585,01;948190610,7557;;;2;165796955322,27;USD;999999,999999
RTSI;RTSI;2013-01-23;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1605,36;1589,02;1605,88;1587,88;1033896137,7809;;;2;165870558089,367;USD;999999,999999
