history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
RTSI;RTSI;2015-07-23;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;884,47;896,04;896,64;883,63;395848572,03;;;2;131563500894,0061;USD;148748222,431700
RTSI;RTSI;2015-07-22;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;901,76;904,55;904,55;893,28;465321559,22;;;2;134135176608,5688;USD;148748222,431700
RTSI;RTSI;2015-07-21;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;905,33;899,51;909,41;893,93;439657788,73;;;2;134665890989,3014;USD;148748222,431700
RTSI;RTSI;2015-07-20;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;900,65;912,88;915,85;894,74;390534660,18;;;2;133969959435,0037;USD;148748222,431700
RTSI;RTSI;2015-07-17;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;912,44;916,54;919,93;908,46;386576666,24;;;2;135723461815,683;USD;148748222,431700
RTSI;RTSI;2015-07-16;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;919,81;907,8;920,01;905,7;352812007,87;;;2;136820093003,2103;USD;148748222,431700
RTSI;RTSI;2015-07-15;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;909,45;909,71;914,91;904,12;487327367,68;;;2;135279551237,0483;USD;148748222,431700
RTSI;RTSI;2015-07-14;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;919,79;914,48;919,79;899,09;567264217,83;;;2;136816808517,0997;USD;148748222,431700
RTSI;RTSI;2015-07-13;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;915,47;903,11;915,47;897,98;646320510,3;;;2;136174696787,755;USD;148748222,431700
RTSI;RTSI;2015-07-10;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;905,2;890,95;906,53;890,95;458115816,24;;;2;134646186862,3038;USD;148748222,431700
RTSI;RTSI;2015-07-09;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;889,76;876,3;896,28;876,24;430028578,93;;;2;132349774560,8933;USD;148748222,431700
RTSI;RTSI;2015-07-08;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;875,67;890,7;894,88;868,02;606869219,4;;;2;130254978830,2025;USD;148748222,431700
RTSI;RTSI;2015-07-07;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;885,78;899,84;899,84;878,38;490206227,92;;;2;131758396812,9086;USD;148748222,431700
