history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
SNDX;IMOEX;2017-12-06;Индекс МосБиржи;Индекс МосБиржи;2124,12;2110,8;2126,16;2102,9;24167326031,9;0;0;2;9763853156060;RUB;4596659342,070000
SNDX;IMOEX;2017-12-05;Индекс МосБиржи;Индекс МосБиржи;2113,69;2117,7;2117,7;2099,77;25271043801;0;0;2;9715893324470;RUB;4596659342,070000
SNDX;IMOEX;2017-12-04;Индекс МосБиржи;Индекс МосБиржи;2119,42;2104,9;2123,08;2087,37;31678170334,7;0;0;2;9742270820380;RUB;4596659342,070000
SNDX;IMOEX;2017-12-01;Индекс МосБиржи;Индекс МосБиржи;2105,99;2102,54;2109,33;2091,89;32254059970,5;0;0;2;9680518197550;RUB;4596659342,070000
SNDX;IMOEX;2017-11-30;Индекс МосБиржи;Индекс МосБиржи;2100,62;2121,93;2123,18;2092,2;78179988737,6;0;0;2;9655832190110;RUB;4596659342,070000
SNDX;IMOEX;2017-11-29;Индекс МосБиржи;Индекс МосБиржи;2124,08;2148,95;2150,88;2120,24;31363188004,4;0;0;2;9763675670860;RUB;4596659342,070000
SNDX;IMOEX;2017-11-28;Индекс МосБиржи;Индекс МосБиржи;2149,45;2144,53;2149,45;2126,06;31474489665,2;0;0;2;9880267970660;RUB;4596659342,070000
SNDX;IMOEX;2017-11-27;Индекс МосБиржи;Индекс МосБиржи;2145,87;2159,02;2164,32;2139,12;24683806656,2;0;0;2;9863834527990;RUB;4596659342,070000
SNDX;IMOEX;2017-11-24;Индекс МосБиржи;Индекс МосБиржи;2161,17;2148,59;2163,61;2144,62;31134801041;;;2;9934151295550,31;RUB;4596659342,065601
SNDX;IMOEX;2017-11-23;Индекс МосБиржи;Индекс МосБиржи;2148,56;2159,88;2160,64;2143,06;30659856682;;;2;9876202520486,62;RUB;4596659342,065601
SNDX;IMOEX;2017-11-22;Индекс МосБиржи;Индекс МосБиржи;2160,16;2158,33;2168,01;2151,3;33535162036;;;2;9929528438592,25;RUB;4596659342,065601
SNDX;IMOEX;2017-11-21;Индекс МосБиржи;Индекс МосБиржи;2155,82;2132,5;2155,82;2132,5;50470600415;;;2;9909554457157,15;RUB;4596659342,065601
SNDX;IMOEX;2017-11-20;Индекс МосБиржи;Индекс МосБиржи;2130,39;2132,4;2139,91;2123,76;26205978752;;;2;9792659291644,4;RUB;4596659342,065601
SNDX;IMOEX;2017-11-17;Индекс МосБиржи;Индекс МосБиржи;2131,91;2135,58;2139,43;2127,95;34124171631;;;2;9799665011616,91;RUB;4596659342,065601
SNDX;IMOEX;2017-11-16;Индекс МосБиржи;Индекс МосБиржи;2132,65;2135,18;2147,83;2112,2;56322547454;;;2;9803044025448,1;RUB;4596659342,065601
SNDX;IMOEX;2017-11-15;Индекс МосБиржи;Индекс МосБиржи;2131,75;2159,83;2162,41;2131,75;53484016959;;;2;9798910381339,13;RUB;4596659342,065601
SNDX;IMOEX;2017-11-14;Индекс МосБиржи;Индекс МосБиржи;2166,83;2166,11;2185,56;2166,11;46980543848;;;2;9960174843010,02;RUB;4596659342,065601
SNDX;IMOEX;2017-11-13;Индекс МосБиржи;Индекс МосБиржи;2167,63;2169,85;2191,71;2167,63;37970412063;;;2;9963867925107,69;RUB;4596659342,065601
SNDX;IMOEX;2017-11-10;Индекс МосБиржи;Индекс МосБиржи;2169,26;2184,64;2190,56;2166,68;62124396482;;;2;9971368807421,05;RUB;4596659342,065601
SNDX;IMOEX;2017-11-09;Индекс МосБиржи;Индекс МосБиржи;2183,61;2162;2183,61;2156,48;61503124362;;;2;10037309817174,26;RUB;4596659342,065601
SNDX;IMOEX;2017-11-08;Индекс МосБиржи;Индекс МосБиржи;2163,01;2155,21;2178,42;2144,98;49040305740;;;2;9942603586446,1;RUB;4596659342,065601
SNDX;IMOEX;2017-11-07;Индекс МосБиржи;Индекс МосБиржи;2155,55;2092,78;2155,55;2092,78;76163603392;;;2;9908311535139,88;RUB;4596659342,065601
SNDX;IMOEX;2017-11-03;Индекс МосБиржи;Индекс МосБиржи;2081,15;2073,17;2096,04;2073,17;31932210910;;;2;9566321216869,32;RUB;4596659342,065601
SNDX;IMOEX;2017-11-02;Индекс МосБиржи;Индекс МосБиржи;2073,04;2080,53;2080,53;2065,69;32705382338;;;2;9529042890450,35;RUB;4596659342,065601
SNDX;IMOEX;2017-11-01;Индекс МосБиржи;Индекс МосБиржи;2082,73;2070,68;2089,83;2068,26;36089541735;;;2;9573583094582,06;RUB;4596659342,065601
SNDX;IMOEX;2017-10-31;Индекс МосБиржи;Индекс МосБиржи;2064,31;2066,1;2079,28;2064,31;28555231309;;;2;9488919825830,43;RUB;4596659342,065601
SNDX;IMOEX;2017-10-30;Индекс МосБиржи;Индекс МосБиржи;2065,25;2069,45;2076,96;2064,74;25948134792;;;2;9493238314496,24;RUB;4596659342,065601
SNDX;IMOEX;2017-10-27;Индекс МосБиржи;Индекс МосБиржи;2068,76;2050,35;2068,76;2050,35;32978905862;;;2;9509377217681,57;RUB;4596659342,065601
SNDX;IMOEX;2017-10-26;Индекс МосБиржи;Индекс МосБиржи;2046,69;2049,66;2053,53;2038,26;25193087908;;;2;9407934884504,42;RUB;4596659342,065601
SNDX;IMOEX;2017-10-25;Индекс МосБиржи;Индекс МосБиржи;2049,48;2063,2;2073,44;2048,78;30312496094;;;2;9420771399280,1;RUB;4596659342,065601
SNDX;IMOEX;2017-10-24;Индекс МосБиржи;Индекс МосБиржи;2061,79;2064,07;2066,21;2057,69;26577228482;;;2;9477339059146,35;RUB;4596659342,065601
SNDX;IMOEX;2017-10-23;Индекс МосБиржи;Индекс МосБиржи;2063,81;2073,55;2078,59;2060,43;25549512657;;;2;9486626177496;RUB;4596659342,065601
SNDX;IMOEX;2017-10-20;Индекс МосБиржи;Индекс МосБиржи;2071,83;2076,29;2079,64;2067,91;31894760682;;;2;9523512215809,27;RUB;4596659342,065601
SNDX;IMOEX;2017-10-19;Индекс МосБиржи;Индекс МосБиржи;2072,73;2094,56;2099,66;2071,6;29049131346;;;2;9527631790900,55;RUB;4596659342,065601
SNDX;IMOEX;2017-10-18;Индекс МосБиржи;Индекс МосБиржи;2094,4;2091,4;2101,35;2086,45;31229047361;;;2;9627261744157,34;RUB;4596659342,065601
SNDX;IMOEX;2017-10-17;Индекс МосБиржи;Индекс МосБиржи;2092,57;2105,74;2106,49;2086,41;28669238613;;;2;9618823252571,18;RUB;4596659342,065601
SNDX;IMOEX;2017-10-16;Индекс МосБиржи;Индекс МосБиржи;2106,39;2102,25;2106,39;2098,07;27713508271;;;2;9682351419777,72;RUB;4596659342,065601
SNDX;IMOEX;2017-10-13;Индекс МосБиржи;Индекс МосБиржи;2098,77;2094,94;2105,64;2092,4;27709775824;;;2;9647331849998,52;RUB;4596659342,065601
SNDX;IMOEX;2017-10-12;Индекс МосБиржи;Индекс МосБиржи;2094,96;2101,33;2101,33;2090,86;25726422026;;;2;9629798080813,91;RUB;4596659342,065601
SNDX;IMOEX;2017-10-11;Индекс МосБиржи;Индекс МосБиржи;2101,07;2087,47;2103,29;2087,07;34018959291;;;2;9657914795245,32;RUB;4596659342,065601
SNDX;IMOEX;2017-10-10;Индекс МосБиржи;Индекс МосБиржи;2086,91;2096,35;2096,35;2084,49;20851365341;;;2;9592809380062,64;RUB;4596659342,065601
SNDX;IMOEX;2017-10-09;Индекс МосБиржи;Индекс МосБиржи;2096,29;2094,16;2100,29;2086,74;21834093292;;;2;9635938313754,12;RUB;4596659342,065601
SNDX;IMOEX;2017-10-06;Индекс МосБиржи;Индекс МосБиржи;2093,86;2089,39;2103,05;2089,39;29518982080;;;2;9624743537113,42;RUB;4596659342,065601
SNDX;IMOEX;2017-10-05;Индекс МосБиржи;Индекс МосБиржи;2088,32;2076,78;2088,64;2071,19;31196036315;;;2;9599278210413,51;RUB;4596659342,065601
SNDX;IMOEX;2017-10-04;Индекс МосБиржи;Индекс МосБиржи;2077,09;2076,5;2080,05;2068,73;22612073883;;;2;9547673170156,81;RUB;4596659342,065601
SNDX;IMOEX;2017-10-03;Индекс МосБиржи;Индекс МосБиржи;2076,81;2076,53;2084,03;2072,83;29271290869;;;2;9546394307545,2;RUB;4596659342,065601
SNDX;IMOEX;2017-10-02;Индекс МосБиржи;Индекс МосБиржи;2075,72;2077,16;2083,43;2072,72;23781336284;;;2;9541393643467,94;RUB;4596659342,065601
SNDX;IMOEX;2017-09-29;Индекс МосБиржи;Индекс МосБиржи;2077,19;2071,33;2077,28;2068,39;25879486788;;;2;9548155212444,74;RUB;4596659342,065601
SNDX;IMOEX;2017-09-28;Индекс МосБиржи;Индекс МосБиржи;2071,64;2080,73;2084,39;2068,54;25543129539;;;2;9522641671665,97;RUB;4596659342,065601
SNDX;IMOEX;2017-09-27;Индекс МосБиржи;Индекс МосБиржи;2081,12;2072,27;2085,14;2065,79;29664329304;;;2;9566204218166,66;RUB;4596659342,065601
SNDX;IMOEX;2017-09-26;Индекс МосБиржи;Индекс МосБиржи;2071,13;2071,62;2086,65;2070,49;40745873808;;;2;9520276362266,63;RUB;4596659342,065601
SNDX;IMOEX;2017-09-25;Индекс МосБиржи;Индекс МосБиржи;2069,11;2050,52;2070,82;2046,01;36034399685;;;2;9510980886999,16;RUB;4596659342,065601
SNDX;IMOEX;2017-09-22;Индекс МосБиржи;Индекс МосБиржи;2051,63;2059,01;2059,01;2046,35;28074449954;;;2;9430627208926,85;RUB;4596659342,065601
SNDX;IMOEX;2017-09-21;Индекс МосБиржи;Индекс МосБиржи;2060,24;2056,27;2066,41;2051,68;33057559698;;;2;9548540285350,49;RUB;4634679116,502200
SNDX;IMOEX;2017-09-20;Индекс МосБиржи;Индекс МосБиржи;2057,53;2048,86;2058,08;2044,23;35396601120;;;2;9536009944621,06;RUB;4634679116,502200
SNDX;IMOEX;2017-09-19;Индекс МосБиржи;Индекс МосБиржи;2048,99;2057,36;2059,16;2046,61;28946462606;;;2;9496408325011,35;RUB;4634679116,502200
SNDX;IMOEX;2017-09-18;Индекс МосБиржи;Индекс МосБиржи;2059,08;2055,41;2062,75;2053,6;27791911849;;;2;9543161362757,82;RUB;4634679116,502200
SNDX;IMOEX;2017-09-15;Индекс МосБиржи;Индекс МосБиржи;2053,81;2051,47;2061,6;2041,28;36433180483;;;2;9518756726665,57;RUB;4634679116,502200
SNDX;IMOEX;2017-09-14;Индекс МосБиржи;Индекс МосБиржи;2052,25;2054,66;2055,93;2036,22;31569273510;;;2;9511542707154,15;RUB;4634679116,502200
