history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
RTSI;RTSI;2016-09-29;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;998,17;998,36;1001,73;994,98;395816659,41;;;2;149779157257,04;USD;150053464,080800
RTSI;RTSI;2016-09-28;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;975,31;975,49;984,13;972,76;357781755,24;;;2;146349225159,15;USD;150053464,080800
RTSI;RTSI;2016-09-27;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;973,18;985,54;986,12;972,38;386163689,45;;;2;146029309727,85;USD;150053464,080800
RTSI;RTSI;2016-09-26;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;986,83;985,36;990,51;978,39;373055463,8;;;2;148077927737,64;USD;150053464,080800
RTSI;RTSI;2016-09-23;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;993,94;1000,1;1000,1;987,21;412850455,87;;;2;149143758448,56;USD;150053464,080800
RTSI;RTSI;2016-09-22;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1002,13;990,5;1003,36;986,64;491868240,47;;;2;150373443208,78;USD;150053464,080800
RTSI;RTSI;2016-09-21;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;979,54;970,19;980,84;970,19;358546265,33;;;2;146983301627,17;USD;150053464,080800
RTSI;RTSI;2016-09-20;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;969,71;967,12;970,11;957,35;340387436,48;;;2;145508349843,65;USD;150053464,080800
RTSI;RTSI;2016-09-19;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;969,75;960,09;971,54;960,09;364222109,25;;;2;145514855972,03;USD;150053464,080800
RTSI;RTSI;2016-09-16;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;961,41;971,86;972,63;953,12;557169022,28;;;2;144262366205,92;USD;150053464,080800
RTSI;RTSI;2016-09-15;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;970,93;968,56;971,55;961,42;437942517,66;;;2;141790618118,97;USD;146035232,229900
RTSI;RTSI;2016-09-14;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;970,56;966,66;976,66;966,03;365054156,85;;;2;141735923044,14;USD;146035232,229900
RTSI;RTSI;2016-09-13;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;968,53;985,47;988,03;967,1;334522820,83;;;2;141439552952,27;USD;146035232,229900
RTSI;RTSI;2016-09-12;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;983,78;980,29;984,72;967,51;470557341,42;;;2;143666077406,4;USD;146035232,229900
RTSI;RTSI;2016-09-09;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;987,87;1006,86;1006,86;987,87;349224252,37;;;2;144263372701,25;USD;146035232,229900
RTSI;RTSI;2016-09-08;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1013,11;1011,18;1017,32;1004,06;485198662,55;;;2;147949611720,34;USD;146035232,229900
RTSI;RTSI;2016-09-07;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1005,77;996,43;1007,2;996,39;610373706,86;;;2;146877390013,17;USD;146035232,229900
RTSI;RTSI;2016-09-06;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;995,35;978,25;995,63;978,21;511707482,29;;;2;145355727874,56;USD;146035232,229900
