history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
RTSI;RTSI;2017-07-18;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1038,45;1038,43;1047,09;1035,48;481825651,05;;;2;152779705247,62;USD;147122503,846500
RTSI;RTSI;2017-07-17;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1039,34;1046,76;1052,59;1035,96;438776990,63;;;2;152910644819,53;USD;147122503,846500
RTSI;RTSI;2017-07-14;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1044,27;1031,82;1045,42;1028,09;430321885,06;;;2;153635221510,2;USD;147122503,846500
RTSI;RTSI;2017-07-13;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1029,89;1024,76;1031,69;1021,95;605654329,25;;;2;151520274075,54;USD;147122503,846500
RTSI;RTSI;2017-07-12;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1025,68;1005,55;1025,97;1005,55;604831127,66;;;2;150900855958,94;USD;147122503,846500
RTSI;RTSI;2017-07-11;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1001,51;1008,1;1010,52;993,57;469648469,79;;;2;147344078015,58;USD;147122503,846500
RTSI;RTSI;2017-07-10;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1006,14;998,27;1007,71;994,55;480631899,22;;;2;148025883888,18;USD;147122503,846500
RTSI;RTSI;2017-07-07;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;995,24;998,51;998,51;990,51;529997134,84;;;2;146421705097,42;USD;147122503,846500
RTSI;RTSI;2017-07-06;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1011,79;1008,39;1012,11;1003,41;518369630,48;;;2;148857207785,85;USD;147122503,846500
RTSI;RTSI;2017-07-05;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1007,88;1016,69;1020,16;1002,94;459916984;;;2;148281839219,72;USD;147122503,846500
RTSI;RTSI;2017-07-04;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1017,59;1011,03;1019,97;1008,9;399101166,59;;;2;149710488055,03;USD;147122503,846500
RTSI;RTSI;2017-07-03;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1009,42;1008,41;1014,79;999,76;365284968,45;;;2;148509033014,34;USD;147122503,846500
RTSI;RTSI;2017-06-30;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1000,96;996,35;1006,39;995,1;526087505,29;;;2;147263065317,3;USD;147122503,846500
RTSI;RTSI;2017-06-29;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1000,45;1008,98;1014,55;998,44;460385436,52;;;2;147189196407,26;USD;147122503,846500
RTSI;RTSI;2017-06-28;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1002,83;993,97;1004,37;987,47;418464988,91;;;2;147538865484,68;USD;147122503,846500
RTSI;RTSI;2017-06-27;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1003,79;995,27;1006,42;990,7;452983157,85;;;2;147679767094,8;USD;147122503,846500
RTSI;RTSI;2017-06-26;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;992,84;991,99;1001,93;987,87;382538185,69;;;2;146068581708,79;USD;147122503,846500
RTSI;RTSI;2017-06-23;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;988,93;977,25;991,69;975,23;446255310,66;;;2;145493662319,43;USD;147122503,846500
RTSI;RTSI;2017-06-22;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;978,45;962,53;981,56;958,83;547754727,18;;;2;143952452002,14;USD;147122503,846500
RTSI;RTSI;2017-06-21;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;973,33;981,86;981,86;966,92;538558200,02;;;2;143198514188,04;USD;147122503,846500
RTSI;RTSI;2017-06-20;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;981,03;997,23;1006,98;978,31;561251174,16;;;2;144331823301,53;USD;147122503,846500
RTSI;RTSI;2017-06-19;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;998,34;992,75;1001,25;992,01;450943049,96;;;2;146878236737,86;USD;147122503,846500
RTSI;RTSI;2017-06-16;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;994,38;990,04;1003,16;987,81;701540303,02;;;2;146295838417,12;USD;147122503,846500
RTSI;RTSI;2017-06-15;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;991,96;1005,68;1005,68;972,08;1573729663,48;;;2;150597422092,2;USD;151818269,551400
RTSI;RTSI;2017-06-14;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1013,78;1029,08;1030,05;1013,04;638282032,76;;;2;153911072024,56;USD;151818269,551400
RTSI;RTSI;2017-06-13;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1030,99;1033,66;1035,82;1028,03;521721460,62;;;2;156523361871,41;USD;151818269,551400
RTSI;RTSI;2017-06-09;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1041,49;1037,02;1044,68;1031,63;445643527,64;;;2;158117716347,24;USD;151818269,551400
RTSI;RTSI;2017-06-08;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1038,5;1031,56;1038,5;1022,85;587519532,75;;;2;157663115889,29;USD;151818269,551400
RTSI;RTSI;2017-06-07;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1034,31;1042,37;1050,33;1033,27;472515364,09;;;2;157027519865,95;USD;151818269,551400
RTSI;RTSI;2017-06-06;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1041,23;1044,7;1047,08;1037,78;370268135,81;;;2;158077379090,57;USD;151818269,551400
RTSI;RTSI;2017-06-05;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1044,34;1047,1;1055,15;1040,51;413288606,37;;;2;158550611925,89;USD;151818269,551400
RTSI;RTSI;2017-06-02;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1046,02;1043,82;1046,02;1027,78;631896527,79;;;2;158805097841,24;USD;151818269,551400
RTSI;RTSI;2017-06-01;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1045,63;1058,7;1060,08;1037,97;750653534,87;;;2;158745086477,09;USD;151818269,551400
RTSI;RTSI;2017-05-31;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1053,3;1077,39;1079;1048,93;1258788929,46;;;2;159909463991,41;USD;151818269,551400
RTSI;RTSI;2017-05-30;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1074,81;1080,86;1080,86;1073,84;446970357,39;;;2;163175261314,06;USD;151818269,551400
RTSI;RTSI;2017-05-29;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1085,75;1078,3;1085,75;1074,04;362689414,87;;;2;164837384540,11;USD;151818269,551400
RTSI;RTSI;2017-05-26;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1073,04;1075,1;1078,95;1069,18;539703975,28;;;2;162906729186,92;USD;151818269,551400
RTSI;RTSI;2017-05-25;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1083,52;1092,18;1100,05;1083,52;451314063,21;;;2;164498315794,67;USD;151818269,551400
RTSI;RTSI;2017-05-24;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1087,59;1094,35;1100,92;1080,57;507537998,4;;;2;165116301007,27;USD;151818269,551400
RTSI;RTSI;2017-05-23;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1096,83;1084,91;1098,93;1082,13;491307116,92;;;2;166518406483,33;USD;151818269,551400
RTSI;RTSI;2017-05-22;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1083,58;1088,32;1093,48;1076,41;416228700,59;;;2;164506728283,97;USD;151818269,551400
