history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
SNDX;IMOEX;2015-12-11;Индекс МосБиржи;Индекс МосБиржи;1720,31;1732,9;1732,91;1711,81;27222724797;;;2;7969456501468,53;RUB;4632583221,618000
SNDX;IMOEX;2015-12-10;Индекс МосБиржи;Индекс МосБиржи;1732,89;1732,65;1747,56;1723,3;30034822699;;;2;8027775150276,98;RUB;4632583221,618000
SNDX;IMOEX;2015-12-09;Индекс МосБиржи;Индекс МосБиржи;1733,09;1719,84;1740,47;1719,44;33971507366;;;2;8028668339294,22;RUB;4632583221,618000
SNDX;IMOEX;2015-12-08;Индекс МосБиржи;Индекс МосБиржи;1718,77;1740,64;1741,79;1712,87;40266957457;;;2;7962328580075,14;RUB;4632583221,618000
SNDX;IMOEX;2015-12-07;Индекс МосБиржи;Индекс МосБиржи;1741,14;1756,11;1767,34;1735,01;31536716363;;;2;8065979374507,88;RUB;4632583221,618000
SNDX;IMOEX;2015-12-04;Индекс МосБиржи;Индекс МосБиржи;1755,22;1786,55;1798,91;1741,6;38557264636;;;2;8131194740545,14;RUB;4632583221,618000
SNDX;IMOEX;2015-12-03;Индекс МосБиржи;Индекс МосБиржи;1787,23;1770,1;1792,38;1764,86;31739618819;;;2;8279470328504,91;RUB;4632583221,618000
SNDX;IMOEX;2015-12-02;Индекс МосБиржи;Индекс МосБиржи;1770,13;1773,49;1793,27;1760,51;28668714824;;;2;8200288963952,28;RUB;4632583221,618000
SNDX;IMOEX;2015-12-01;Индекс МосБиржи;Индекс МосБиржи;1772,97;1771,05;1785,29;1763,05;30147725961;;;2;8213410075032,63;RUB;4632583221,618000
SNDX;IMOEX;2015-11-30;Индекс МосБиржи;Индекс МосБиржи;1771,05;1794,25;1807,57;1771,05;37718548385;;;2;8204533047747,59;RUB;4632583221,618000
SNDX;IMOEX;2015-11-27;Индекс МосБиржи;Индекс МосБиржи;1795,7;1828,32;1828,32;1790,68;30879408712;;;2;8318725260947,94;RUB;4632583221,618000
