history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
SNDX;IMOEX;2017-07-18;Индекс МосБиржи;Индекс МосБиржи;1947,71;1956,56;1966,86;1944,81;28468668592;;;2;9026988884555,76;RUB;4634679116,502200
SNDX;IMOEX;2017-07-17;Индекс МосБиржи;Индекс МосБиржи;1959,11;1963,29;1972,49;1949,55;26054621581;;;2;9079849380448,03;RUB;4634679116,502200
SNDX;IMOEX;2017-07-14;Индекс МосБиржи;Индекс МосБиржи;1960,69;1959,86;1967,6;1955,09;25452592793;;;2;9087185354841,05;RUB;4634679116,502200
SNDX;IMOEX;2017-07-13;Индекс МосБиржи;Индекс МосБиржи;1959,91;1951,66;1963,37;1946,61;36308674211;;;2;9083564670691,69;RUB;4634679116,502200
SNDX;IMOEX;2017-07-12;Индекс МосБиржи;Индекс МосБиржи;1954,39;1938,36;1957,02;1938,36;36305532786;;;2;9057959689705,89;RUB;4634679116,502200
SNDX;IMOEX;2017-07-11;Индекс МосБиржи;Индекс МосБиржи;1937,64;1927,34;1938,11;1919,19;28624181902;;;2;8980341601301,6;RUB;4634679116,502200
SNDX;IMOEX;2017-07-10;Индекс МосБиржи;Индекс МосБиржи;1925,74;1912,76;1928,1;1908,99;28979604237;;;2;8925191063861,25;RUB;4634679116,502200
SNDX;IMOEX;2017-07-07;Индекс МосБиржи;Индекс МосБиржи;1912,48;1906,72;1914,29;1897,87;32083641556;;;2;8863711128924,74;RUB;4634679116,502200
SNDX;IMOEX;2017-07-06;Индекс МосБиржи;Индекс МосБиржи;1923,22;1920,59;1929,43;1911,96;31039714289;;;2;8913495173613,04;RUB;4634679116,502200
SNDX;IMOEX;2017-07-05;Индекс МосБиржи;Индекс МосБиржи;1921,38;1917,36;1924,53;1912,31;27620038524;;;2;8904976885236,63;RUB;4634679116,502200
SNDX;IMOEX;2017-07-04;Индекс МосБиржи;Индекс МосБиржи;1917,4;1902,64;1919,23;1899,17;23689847047;;;2;8886515149970,62;RUB;4634679116,502200
SNDX;IMOEX;2017-07-03;Индекс МосБиржи;Индекс МосБиржи;1902,59;1886,72;1902,59;1881,98;21689196815;;;2;8817887195163,01;RUB;4634679116,502200
SNDX;IMOEX;2017-06-30;Индекс МосБиржи;Индекс МосБиржи;1879,5;1879,16;1895,98;1877,57;31119075504;;;2;8710890113342,5;RUB;4634679116,502200
SNDX;IMOEX;2017-06-29;Индекс МосБиржи;Индекс МосБиржи;1881,04;1896,12;1902,8;1877,13;27268675444;;;2;8718030822121,67;RUB;4634679116,502200
SNDX;IMOEX;2017-06-28;Индекс МосБиржи;Индекс МосБиржи;1891,98;1877,04;1893,65;1864,88;24870797072;;;2;8768736407897,46;RUB;4634679116,502200
SNDX;IMOEX;2017-06-27;Индекс МосБиржи;Индекс МосБиржи;1878,94;1857,24;1884,41;1849,42;26711284361;;;2;8708306666162,68;RUB;4634679116,502200
SNDX;IMOEX;2017-06-26;Индекс МосБиржи;Индекс МосБиржи;1860,39;1870,33;1880,11;1857,03;22580884817;;;2;8622296916546,46;RUB;4634679116,502200
SNDX;IMOEX;2017-06-23;Индекс МосБиржи;Индекс МосБиржи;1867,46;1859,63;1876,36;1850,22;26546657419;;;2;8655068786593,45;RUB;4634679116,502200
SNDX;IMOEX;2017-06-22;Индекс МосБиржи;Индекс МосБиржи;1860,05;1842,62;1863,42;1836,02;32802839592;;;2;8620736540600,03;RUB;4634679116,502200
SNDX;IMOEX;2017-06-21;Индекс МосБиржи;Индекс МосБиржи;1850,81;1858,24;1861,03;1844,06;32260874865;;;2;8577920356446;RUB;4634679116,502200
SNDX;IMOEX;2017-06-20;Индекс МосБиржи;Индекс МосБиржи;1857,96;1850,38;1870,56;1846,7;33485030802;;;2;8611038642722,19;RUB;4634679116,502200
SNDX;IMOEX;2017-06-19;Индекс МосБиржи;Индекс МосБиржи;1849,78;1820,83;1851,7;1820,11;26321139977;;;2;8573150487975,8;RUB;4634679116,502200
SNDX;IMOEX;2017-06-16;Индекс МосБиржи;Индекс МосБиржи;1822,91;1818,87;1833,7;1811,45;40514022653;;;2;8448599298172,57;RUB;4634679116,502200
SNDX;IMOEX;2017-06-15;Индекс МосБиржи;Индекс МосБиржи;1817,82;1833,42;1833,42;1774,56;90850626608;;;2;8693913878671,4;RUB;4782605957,601200
SNDX;IMOEX;2017-06-14;Индекс МосБиржи;Индекс МосБиржи;1838,32;1861,5;1862,3;1834,51;36461031355;;;2;8791969905009,58;RUB;4782605957,601200
