history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
SNDX;IMOEX;2014-05-12;Индекс МосБиржи;Индекс МосБиржи;1375,31;1372,09;1383,99;1362,93;37536188802;;;2;6206616741510,79;RUB;4512891869,890600
SNDX;IMOEX;2014-05-08;Индекс МосБиржи;Индекс МосБиржи;1371,42;1364,29;1383,84;1355,34;53087912546;;;2;6189079360174,49;RUB;4512891869,890600
SNDX;IMOEX;2014-05-07;Индекс МосБиржи;Индекс МосБиржи;1363,48;1316,74;1379,42;1312,62;59698326165;;;2;6153252744551,48;RUB;4512891869,890600
SNDX;IMOEX;2014-05-06;Индекс МосБиржи;Индекс МосБиржи;1318,57;1299,07;1321,49;1299,07;30132972425;;;2;5950560126704,6;RUB;4512891869,890600
SNDX;IMOEX;2014-05-05;Индекс МосБиржи;Индекс МосБиржи;1298,29;1302,99;1306,43;1289,8;15961246766;;;2;5859059128841,26;RUB;4512891869,890600
SNDX;IMOEX;2014-05-02;Индекс МосБиржи;Индекс МосБиржи;1304,84;1304,93;1306,44;1292,08;15722736384;;;2;5888602685233,59;RUB;4512891869,890600
SNDX;IMOEX;2014-04-30;Индекс МосБиржи;Индекс МосБиржи;1306,01;1304,76;1309,53;1296,24;27633273026;;;2;5893886572573,4;RUB;4512891869,890600
SNDX;IMOEX;2014-04-29;Индекс МосБиржи;Индекс МосБиржи;1304,78;1300,83;1318,36;1298,66;37894446155;;;2;5888312932476,85;RUB;4512891869,890600
SNDX;IMOEX;2014-04-28;Индекс МосБиржи;Индекс МосБиржи;1299,13;1278,12;1302,13;1260,39;57728932367;;;2;5862821903664,09;RUB;4512891869,890600
SNDX;IMOEX;2014-04-25;Индекс МосБиржи;Индекс МосБиржи;1280,12;1300,53;1300,53;1277,92;48263358097;;;2;5777021587045,82;RUB;4512891869,890600
SNDX;IMOEX;2014-04-24;Индекс МосБиржи;Индекс МосБиржи;1300,54;1329,1;1334,32;1289,85;49874818331;;;2;5869213270469,87;RUB;4512891869,890600
SNDX;IMOEX;2014-04-23;Индекс МосБиржи;Индекс МосБиржи;1329,11;1335,65;1335,65;1324,21;29810475925;;;2;5998148584666,36;RUB;4512891869,890600
SNDX;IMOEX;2014-04-22;Индекс МосБиржи;Индекс МосБиржи;1335,62;1345;1345,19;1327,04;33034264906;;;2;6027523215012,79;RUB;4512891869,890600
SNDX;IMOEX;2014-04-21;Индекс МосБиржи;Индекс МосБиржи;1345,04;1356,48;1359,21;1342,38;20143790154;;;2;6070018652688,34;RUB;4512891869,890600
SNDX;IMOEX;2014-04-18;Индекс МосБиржи;Индекс МосБиржи;1356,54;1330,57;1362,46;1330,57;28168831213;;;2;6121921846173,7;RUB;4512891869,890600
SNDX;IMOEX;2014-04-17;Индекс МосБиржи;Индекс МосБиржи;1329,67;1322,67;1336,24;1310,92;35896730364;;;2;6000643737340,84;RUB;4512891869,890600
SNDX;IMOEX;2014-04-16;Индекс МосБиржи;Индекс МосБиржи;1322,6;1310,98;1326,2;1300,75;50484601503;;;2;5968765031280,63;RUB;4512891869,890600
SNDX;IMOEX;2014-04-15;Индекс МосБиржи;Индекс МосБиржи;1311,01;1344,18;1347,88;1308,86;41391606206;;;2;5916441807070,59;RUB;4512891869,890600
SNDX;IMOEX;2014-04-14;Индекс МосБиржи;Индекс МосБиржи;1344,86;1362,04;1362,1;1336,98;43507706220;;;2;6069228590823,25;RUB;4512891869,890600
SNDX;IMOEX;2014-04-11;Индекс МосБиржи;Индекс МосБиржи;1362,4;1367,65;1371,12;1346,03;39574923084;;;2;6148351636277,17;RUB;4512891869,890600
SNDX;IMOEX;2014-04-10;Индекс МосБиржи;Индекс МосБиржи;1367,71;1348,77;1367,88;1348,21;41994459771;;;2;6172313465380,59;RUB;4512891869,890600
