history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
SNDX;IMOEX;2019-07-09;Индекс МосБиржи;Индекс МосБиржи;2822,66;2821,89;2835,18;2816,79;35414060387,2;0;0;2;10468607187800;RUB;3708780020,320000
SNDX;IMOEX;2019-07-08;Индекс МосБиржи;Индекс МосБиржи;2822,55;2823,14;2823,67;2806,97;40589081211,2;0;0;2;10468204089300;RUB;3708780020,320000
SNDX;IMOEX;2019-07-05;Индекс МосБиржи;Индекс МосБиржи;2835,35;2842,97;2848,4;2827,96;44191358353,8;0;0;2;10515690287700;RUB;3708780020,320000
SNDX;IMOEX;2019-07-04;Индекс МосБиржи;Индекс МосБиржи;2842,78;2823,33;2842,78;2813,66;46950645941,9;0;0;2;10543240617000;RUB;3708780020,320000
SNDX;IMOEX;2019-07-03;Индекс МосБиржи;Индекс МосБиржи;2823,95;2810,1;2827,76;2799,6;45405020131,8;0;0;2;10473396491900;RUB;3708780020,320000
SNDX;IMOEX;2019-07-02;Индекс МосБиржи;Индекс МосБиржи;2809,81;2802,82;2810,02;2795,36;37233670312,8;0;0;2;10420956744300;RUB;3708780020,320000
SNDX;IMOEX;2019-07-01;Индекс МосБиржи;Индекс МосБиржи;2801,47;2777,08;2813,44;2777,08;55325833342,4;0;0;2;10390041288100;RUB;3708780020,320000
SNDX;IMOEX;2019-06-28;Индекс МосБиржи;Индекс МосБиржи;2765,85;2777,94;2786,66;2761,46;41769434618,9;0;0;2;10257914778100;RUB;3708780020,320000
SNDX;IMOEX;2019-06-27;Индекс МосБиржи;Индекс МосБиржи;2779,66;2774,75;2790,59;2765,61;37902608243,2;0;0;2;10309134023900;RUB;3708780020,320000
SNDX;IMOEX;2019-06-26;Индекс МосБиржи;Индекс МосБиржи;2775,14;2754,91;2778,25;2751,51;38807017869,8;0;0;2;10292399835900;RUB;3708780020,320000
SNDX;IMOEX;2019-06-25;Индекс МосБиржи;Индекс МосБиржи;2753,96;2761,39;2763,88;2738,34;34638511344,6;0;0;2;10213816036600;RUB;3708780020,320000
