history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
RTSI;RTSI;2014-05-12;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1234,31;1233,72;1241,43;1221,89;1063571988,42;;;2;176825076177,3105;USD;143257866,542500
RTSI;RTSI;2014-05-08;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1232,78;1230;1246,5;1215,35;1509438158,7;;;2;176605660886,9459;USD;143257866,542500
RTSI;RTSI;2014-05-07;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1227,75;1169,58;1241,38;1167,55;1684241271,52;;;2;175884590487,2695;USD;143257866,542500
RTSI;RTSI;2014-05-06;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1172,91;1144,86;1174,98;1144,86;838806862,34;;;2;168028381916,5202;USD;143257866,542500
RTSI;RTSI;2014-05-05;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1143,44;1144,18;1148,63;1134,31;441792874,74;;;2;163807462954,2154;USD;143257866,542500
RTSI;RTSI;2014-05-02;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1148,96;1151,7;1151,7;1139,59;435719109,41;;;2;164597250690,9757;USD;143257866,542500
RTSI;RTSI;2014-04-30;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1155,7;1153,87;1156,18;1142,44;756633204,43;;;2;165562918126,6992;USD;143257866,542500
RTSI;RTSI;2014-04-29;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1153,36;1149,48;1167,9;1148,79;1056998728,01;;;2;165227637951,0597;USD;143257866,542500
RTSI;RTSI;2014-04-28;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1139,29;1114,95;1142,7;1100,85;1593965670,11;;;2;163212267994,9297;USD;143257866,542500
RTSI;RTSI;2014-04-25;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1119,37;1140,62;1140,62;1117,45;1329340053,47;;;2;160358340040,7679;USD;143257866,542500
RTSI;RTSI;2014-04-24;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1145,66;1174,52;1177,41;1135,5;1386550966,34;;;2;164124287295,1509;USD;143257866,542500
RTSI;RTSI;2014-04-23;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1171,99;1178,02;1179,02;1168,09;832021985,65;;;2;167896757660,3748;USD;143257866,542500
RTSI;RTSI;2014-04-22;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1178,81;1186,1;1186,55;1169,16;921226441,67;;;2;168873447354,4841;USD;143257866,542500
RTSI;RTSI;2014-04-21;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1187,94;1200,44;1200,93;1184,94;563534382,25;;;2;170181704857,8086;USD;143257866,542500
RTSI;RTSI;2014-04-18;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1200,22;1194,11;1207,47;1194,11;790864847,31;;;2;171940690193,9134;USD;143257866,542500
RTSI;RTSI;2014-04-17;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1172,62;1157,59;1173,64;1154,48;995408433,98;;;2;167987386048,0623;USD;143257866,542500
RTSI;RTSI;2014-04-16;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1154,31;1146,26;1157,91;1134,78;1391766309,87;;;2;165363833981,8557;USD;143257866,542500
RTSI;RTSI;2014-04-15;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1142,96;1175,54;1181,02;1141,37;1141330173,82;;;2;163737766789,2916;USD;143257866,542500
RTSI;RTSI;2014-04-14;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1179,97;1200,22;1200,22;1170,06;1204922327,94;;;2;169040434122,2806;USD;143257866,542500
RTSI;RTSI;2014-04-11;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1204,07;1199,5;1212,55;1189,61;1104547827,09;;;2;172492543165,0051;USD;143257866,542500
RTSI;RTSI;2014-04-10;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1213,46;1196,25;1213,46;1193,65;1174053124,6;;;2;173838263686,2424;USD;143257866,542500
RTSI;RTSI;2014-04-09;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1190,13;1195,8;1198,55;1179,28;1094750428,43;;;2;170495047960,9849;USD;143257866,542500
RTSI;RTSI;2014-04-08;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1195,71;1194,48;1199,84;1180,89;1228973592,88;;;2;171294700053,2612;USD;143257866,542500
RTSI;RTSI;2014-04-07;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1193,78;1225,49;1225,49;1176,67;1571298102,78;;;2;171017769008,3549;USD;143257866,542500
RTSI;RTSI;2014-04-04;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1233,93;1213,09;1240,29;1207,8;1081571716,28;;;2;176769778410,0638;USD;143257866,542500
RTSI;RTSI;2014-04-03;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1210,71;1222,93;1227,78;1205,52;964897175,95;;;2;173443673844,1811;USD;143257866,542500
RTSI;RTSI;2014-04-02;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1222,47;1236,5;1239,69;1211,85;1131344725,68;;;2;175128129246,8209;USD;143257866,542500
RTSI;RTSI;2014-04-01;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1235,74;1227,13;1241,9;1219,49;1241011188,66;;;2;177029005288,8311;USD;143257866,542500
RTSI;RTSI;2014-03-31;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1226,1;1187,6;1226,1;1184,82;1221042205,33;;;2;175648893178,7174;USD;143257866,542500
RTSI;RTSI;2014-03-28;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1186,28;1180,51;1192,84;1172,58;1073704994,97;;;2;169943319954,7992;USD;143257866,542500
RTSI;RTSI;2014-03-27;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1179,47;1193,48;1196,52;1167,7;1253687567,46;;;2;168968842451,8533;USD;143257866,542500
RTSI;RTSI;2014-03-26;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1198,89;1176,45;1208,04;1176,45;1632910581,33;;;2;171750667594,8355;USD;143257866,542500
RTSI;RTSI;2014-03-25;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1170,2;1135,07;1178,29;1127,72;1457803754,84;;;2;167640663546,4611;USD;143257866,542500
RTSI;RTSI;2014-03-24;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1131,6;1135,11;1161,91;1131,46;1174473016,16;;;2;162110403810,4059;USD;143257866,542500
RTSI;RTSI;2014-03-21;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1136,21;1127,52;1136,98;1098,55;1674637864,47;;;2;162770744384,2972;USD;143257866,542500
RTSI;RTSI;2014-03-20;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1150,82;1142,8;1157,19;1136,59;1175222192,74;;;2;164864167349,1648;USD;143257866,542500
RTSI;RTSI;2014-03-19;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1155,81;1160,78;1177,77;1146,5;1740258287,32;;;2;165578492749,1854;USD;143257866,542500
RTSI;RTSI;2014-03-18;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1161,26;1121,6;1164,38;1100,56;1941942343,62;;;2;166360276510,0994;USD;143257866,542500
RTSI;RTSI;2014-03-17;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1114,66;1070,41;1119,24;1063,93;2508337488,06;;;2;159891366898,9319;USD;143444172,616900
RTSI;RTSI;2014-03-14;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1062,47;1064,19;1065,25;1016,01;2241593863,94;;;2;152405698916,3778;USD;143444172,616900
RTSI;RTSI;2014-03-13;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1077,89;1104,49;1111,19;1077,89;1585266309,98;;;2;154616632042,471;USD;143444172,616900
RTSI;RTSI;2014-03-12;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1100,14;1126,91;1126,91;1098,21;1413025253,94;;;2;157808691838,2352;USD;143444172,616900
RTSI;RTSI;2014-03-11;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1132,05;1153,57;1155,97;1129,04;1208829944,43;;;2;162386207579,3095;USD;143444172,616900
RTSI;RTSI;2014-03-07;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1158,87;1163,07;1179,2;1148,71;1372121202,88;;;2;166233326490,608;USD;143444172,616900
RTSI;RTSI;2014-03-06;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1164,63;1182,74;1194,94;1129,87;2037562744,02;;;2;167059135302,137;USD;143444172,616900
RTSI;RTSI;2014-03-05;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1182,05;1188,19;1190,59;1158,4;1425871456,35;;;2;169558499910,218;USD;143444172,616900
RTSI;RTSI;2014-03-04;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1184,22;1121,68;1191,05;1121,68;2593940468,29;;;2;169870030349,823;USD;143444172,616900
RTSI;RTSI;2014-03-03;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1115,06;1239,77;1239,77;1087,46;3149344500,56;;;2;159948947197,287;USD;143444172,616900
RTSI;RTSI;2014-02-28;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1267,27;1262,91;1268,38;1243,96;1381894733,51;;;2;181782304518,651;USD;143444172,616900
RTSI;RTSI;2014-02-27;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1260,95;1285,83;1290,43;1244,38;1458709494,82;;;2;180876592058,807;USD;143444172,616900
RTSI;RTSI;2014-02-26;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1286,07;1306,9;1307,93;1281,03;1000200015,57;;;2;184479391742,551;USD;143444172,616900
RTSI;RTSI;2014-02-25;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1306,37;1321,31;1325,14;1301,07;797748604,92;;;2;187391624782,602;USD;143444172,616900
RTSI;RTSI;2014-02-24;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1318,98;1315,56;1324,44;1311,23;556870668,41;;;2;189199766525,15;USD;143444172,616900
RTSI;RTSI;2014-02-21;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1315,54;1305,88;1318,1;1304,15;652437247,33;;;2;188706218759,805;USD;143444172,616900
RTSI;RTSI;2014-02-20;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1303,15;1300,41;1304,98;1291,61;941157020,97;;;2;186929195071,792;USD;143444172,616900
RTSI;RTSI;2014-02-19;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1306;1342,46;1342,46;1302,58;1185734029,91;;;2;187338302328,762;USD;143444172,616900
RTSI;RTSI;2014-02-18;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1343,62;1347,76;1354,31;1341,15;841140651,73;;;2;192733971402,849;USD;143444172,616900
RTSI;RTSI;2014-02-17;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1347,41;1343,2;1359,58;1338,95;806072122,68;;;2;193277851423,631;USD;143444172,616900
RTSI;RTSI;2014-02-14;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1343,2;1321,61;1347,19;1321,37;873659043,57;;;2;192674264088,823;USD;143444172,616900
RTSI;RTSI;2014-02-13;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1321,61;1353,17;1354,6;1319,02;813121088,61;;;2;189577099640,674;USD;143444172,616900
RTSI;RTSI;2014-02-12;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1353,17;1341,85;1357,57;1341,12;813174020,15;;;2;194104026001,522;USD;143444172,616900
RTSI;RTSI;2014-02-11;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1341,85;1336,02;1350,61;1333,36;757113785,6;;;2;192480047125,584;USD;143444172,616900
RTSI;RTSI;2014-02-10;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1336,02;1341,49;1346,65;1335,75;679694672,32;;;2;191643725315,573;USD;143444172,616900
RTSI;RTSI;2014-02-07;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1341,49;1330,28;1349;1330,28;900270985,73;;;2;192429504593,765;USD;143444172,616900
RTSI;RTSI;2014-02-06;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1330,28;1317,5;1332,05;1314,12;828297031,18;;;2;190820223565,356;USD;143444172,616900
RTSI;RTSI;2014-02-05;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1317,5;1291,82;1322,15;1288,95;932054079,61;;;2;188987142870,649;USD;143444172,616900
RTSI;RTSI;2014-02-04;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1291,82;1293,2;1293,56;1265,71;1024931598,23;;;2;185303399625,678;USD;143444172,616900
RTSI;RTSI;2014-02-03;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1293,2;1301,02;1309,36;1292,77;939013621,75;;;2;185501519577,654;USD;143444172,616900
RTSI;RTSI;2014-01-31;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1301,02;1320,9;1323,67;1294,34;1209414570,42;;;2;186624085231,772;USD;143444172,616900
RTSI;RTSI;2014-01-30;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1320,9;1308;1322,09;1286,66;1494385437,5;;;2;189475694789,323;USD;143444172,616900
RTSI;RTSI;2014-01-29;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1308;1332,51;1356,1;1304,23;1489974058,39;;;2;187625499463,222;USD;143444172,616900
RTSI;RTSI;2014-01-28;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1332,51;1346,51;1354,04;1330,89;1159196813,44;;;2;191140547851,742;USD;143444172,616900
RTSI;RTSI;2014-01-27;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1346,51;1364,11;1365,38;1334,54;1340750466,3;;;2;193149356664,093;USD;143444172,616900
RTSI;RTSI;2014-01-24;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1364,11;1381,59;1389,69;1357,33;1475775712,67;;;2;195673906802,46;USD;143444172,616900
RTSI;RTSI;2014-01-23;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1381,59;1391,75;1397,68;1381,45;1092506197,94;;;2;198180513011,354;USD;143444172,616900
RTSI;RTSI;2014-01-22;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1391,75;1395,87;1398,32;1385,05;1265629282,33;;;2;199638720886,663;USD;143444172,616900
RTSI;RTSI;2014-01-21;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1395,87;1394,49;1402,33;1391,59;979596279,74;;;2;200229117859,583;USD;143444172,616900
RTSI;RTSI;2014-01-20;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1394,49;1395,79;1399,56;1389,49;716205202,73;;;2;200031047792,441;USD;143444172,616900
RTSI;RTSI;2014-01-17;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1395,79;1397,23;1409,17;1389,59;950498531,61;;;2;200217382675,077;USD;143444172,616900
RTSI;RTSI;2014-01-16;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1397,23;1401,78;1406,9;1394,24;932740957,57;;;2;200424952561,078;USD;143444172,616900
RTSI;RTSI;2014-01-15;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1401,78;1388,69;1402,14;1388,4;1045951403,97;;;2;201076590571,619;USD;143444172,616900
RTSI;RTSI;2014-01-14;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1388,69;1401,82;1401,82;1374,74;948098636,26;;;2;199199417530,569;USD;143444172,616900
RTSI;RTSI;2014-01-13;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1401,82;1395,91;1410,62;1395,29;903530229,8;;;2;201082993111,097;USD;143444172,616900
RTSI;RTSI;2014-01-10;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1395,91;1388,86;1397,21;1378,7;891833643,3;;;2;200235302378,747;USD;143444172,616900
