history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
SNDX;IMOEX;2011-03-09;Индекс МосБиржи;Индекс МосБиржи;1779,24;1780,63;1793,1;1769,81;56338074869;;;2;;RUB;
SNDX;IMOEX;2011-03-05;Индекс МосБиржи;Индекс МосБиржи;1780,62;1764,96;1781,26;1763,3;15080022925;;;2;;RUB;
SNDX;IMOEX;2011-03-04;Индекс МосБиржи;Индекс МосБиржи;1764,96;1772,83;1783,82;1758,63;44516203993;;;2;;RUB;
SNDX;IMOEX;2011-03-03;Индекс МосБиржи;Индекс МосБиржи;1772,83;1765,38;1787,69;1765,38;58867033523;;;2;;RUB;
SNDX;IMOEX;2011-03-02;Индекс МосБиржи;Индекс МосБиржи;1765,38;1758,44;1765,87;1746,11;53041005861;;;2;;RUB;
SNDX;IMOEX;2011-03-01;Индекс МосБиржи;Индекс МосБиржи;1758,44;1777,84;1788,53;1753,13;68775635008;;;2;;RUB;
SNDX;IMOEX;2011-02-28;Индекс МосБиржи;Индекс МосБиржи;1777,84;1747,72;1780,39;1743,16;65038463275;;;2;;RUB;
SNDX;IMOEX;2011-02-25;Индекс МосБиржи;Индекс МосБиржи;1747,72;1715,2;1748,63;1713,88;64104225331;;;2;;RUB;
SNDX;IMOEX;2011-02-24;Индекс МосБиржи;Индекс МосБиржи;1715,2;1700,98;1721,99;1687,63;89604477179;;;2;;RUB;
SNDX;IMOEX;2011-02-22;Индекс МосБиржи;Индекс МосБиржи;1700,98;1712,63;1712,63;1682,46;55888919249;;;2;;RUB;
SNDX;IMOEX;2011-02-21;Индекс МосБиржи;Индекс МосБиржи;1712,63;1690,09;1717,01;1683,78;44890073642;;;2;;RUB;
SNDX;IMOEX;2011-02-18;Индекс МосБиржи;Индекс МосБиржи;1690,11;1692,95;1700,61;1680,91;45369008531;;;2;;RUB;
SNDX;IMOEX;2011-02-17;Индекс МосБиржи;Индекс МосБиржи;1692,91;1707,14;1722,24;1692,32;51914585677;;;2;;RUB;
SNDX;IMOEX;2011-02-16;Индекс МосБиржи;Индекс МосБиржи;1707,14;1695,98;1709,27;1688,39;63047418319;;;2;;RUB;
SNDX;IMOEX;2011-02-15;Индекс МосБиржи;Индекс МосБиржи;1695,98;1708,45;1720,86;1693,17;56348529872;;;2;;RUB;
