history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
RTSI;RTSI;2016-05-11;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;927;898,26;927,04;895,83;533611445,34;;;0;138216755134,1034;USD;149101116,691700
RTSI;RTSI;2016-05-10;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;897,11;905,71;910,29;886,92;478862412;;;0;133760839937,8855;USD;149101116,691700
RTSI;RTSI;2016-05-06;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;912,02;911,25;913,89;896,42;440512390,84;;;2;135982622630,8089;USD;149101116,691700
RTSI;RTSI;2016-05-05;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;916,53;911,13;924,43;906,62;479362558,67;;;0;136655456058,5059;USD;149101116,691700
RTSI;RTSI;2016-05-04;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;912,58;941,8;949,36;907,66;702394317,41;;;2;136066918673,5931;USD;149101116,691700
RTSI;RTSI;2016-04-29;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;951,11;959,4;968,03;945,72;770752570,97;;;2;141811320437,0501;USD;149101116,691700
RTSI;RTSI;2016-04-28;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;964,41;936,4;964,41;929,33;638461413,04;;;2;143795165505,2652;USD;149101116,691700
RTSI;RTSI;2016-04-27;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;927,09;943,15;945,78;919,71;574613113,13;;;0;138229450417,1388;USD;149101116,691700
RTSI;RTSI;2016-04-26;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;931,19;924,64;931,19;916,57;575568480,67;;;2;138841108415,1729;USD;149101116,691700
RTSI;RTSI;2016-04-25;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;927,66;930,05;935,99;919,03;553167760,61;;;0;138314871425,8691;USD;149101116,691700
RTSI;RTSI;2016-04-22;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;931,46;920,23;941,31;919,19;673361733,92;;;2;138881761305,3729;USD;149101116,691700
RTSI;RTSI;2016-04-21;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;927,23;952,83;960,96;925,67;883857742,04;;;0;138250678078,6373;USD;149101116,691700
RTSI;RTSI;2016-04-20;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;943,16;920,33;943,16;912,12;864529467,44;;;0;140626255648,1209;USD;149101116,691700
RTSI;RTSI;2016-04-19;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;926,64;903,47;928,11;902,49;882931359,84;;;2;138162779377,5051;USD;149101116,691700
RTSI;RTSI;2016-04-18;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;899,58;896,12;899,58;864,46;621865896,25;;;0;134129064990,7668;USD;149101116,691700
RTSI;RTSI;2016-04-15;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;905,1;911,77;916,4;899,37;450388746,94;;;2;134951205354,6361;USD;149101116,691700
RTSI;RTSI;2016-04-14;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;914,34;917,01;926,53;906,62;692119189,35;;;0;136329805102,3993;USD;149101116,691700
RTSI;RTSI;2016-04-13;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;922,5;912,44;932,15;910,21;763257723,28;;;2;137546126258,6328;USD;149101116,691700
RTSI;RTSI;2016-04-12;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;911,07;899,68;913,55;897,34;668411882,15;;;0;135841646803,5421;USD;149101116,691700
RTSI;RTSI;2016-04-11;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;900,98;880,29;903,04;875,94;695089979,86;;;0;134336766710,7179;USD;149101116,691700
RTSI;RTSI;2016-04-08;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;879,07;862,18;882,82;860,78;540296248,15;;;2;131070208635,3379;USD;149101116,691700
RTSI;RTSI;2016-04-07;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;859,24;869,47;872,56;852,98;453015910,61;;;0;128113762404,7293;USD;149101116,691700
RTSI;RTSI;2016-04-06;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;863,29;856,07;865,5;848,07;450715544,5;;;2;128718155386,825;USD;149101116,691700
RTSI;RTSI;2016-04-05;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;846,61;852,1;854,1;839,62;449331390,52;;;0;126229876238,8487;USD;149101116,691700
RTSI;RTSI;2016-04-04;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;861,76;864,34;868,89;847,6;483262027,32;;;0;128488935059,337;USD;149101116,691700
RTSI;RTSI;2016-04-01;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;861,96;874,41;874,41;847,04;613998467,36;;;2;128519011057,1811;USD;149101116,691700
RTSI;RTSI;2016-03-31;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;876,2;860,95;882,75;858,62;677606661,59;;;0;130642845768,273;USD;149101116,691700
RTSI;RTSI;2016-03-30;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;869,86;857,46;876,77;857,46;502356847,29;;;2;129697398107,5611;USD;149101116,691700
