history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
RTSI;RTSI;2015-02-26;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;911,98;897,59;921,78;897,59;669062713,82;;;2;134196496878,7545;USD;147149300,779200
RTSI;RTSI;2015-02-25;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;883,88;888,26;892,06;875,69;555012534,52;;;2;130062310727,8763;USD;147149300,779200
RTSI;RTSI;2015-02-24;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;888,69;897,12;898,04;869,91;467567926,9;;;2;130770284021,7727;USD;147149300,779200
RTSI;RTSI;2015-02-20;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;910,42;912,93;923,61;902,02;511027874,9;;;2;133967786494,9393;USD;147149300,779200
RTSI;RTSI;2015-02-19;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;906,51;927,15;927,2;888,15;758385915,82;;;2;133392996213,5943;USD;147149300,779200
RTSI;RTSI;2015-02-18;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;929,35;906,39;937,07;906,39;791062128,11;;;2;136752666388,2204;USD;147149300,779200
RTSI;RTSI;2015-02-17;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;894,61;897,45;933,44;891,36;839306628,17;;;2;131641407415,9573;USD;147149300,779200
RTSI;RTSI;2015-02-16;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;897,35;912,76;924,06;895,59;584473906,07;;;2;132045022265,395;USD;147149300,779200
RTSI;RTSI;2015-02-13;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;914,05;876,95;914,21;876,95;1161482573,04;;;2;134502392749,7906;USD;147149300,779200
RTSI;RTSI;2015-02-12;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;861,93;853,08;884,41;821,76;1293218605,24;;;2;126832817806,9419;USD;147149300,779200
RTSI;RTSI;2015-02-11;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;832,33;845,02;854,57;832,03;575618159,69;;;2;122476847633,3584;USD;147149300,779200
RTSI;RTSI;2015-02-10;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;825,89;836,56;854,64;821,08;489045378,81;;;2;121528685886,6165;USD;147149300,779200
RTSI;RTSI;2015-02-09;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;840,48;827,14;882,93;825,07;957076793,61;;;2;123676188169,3772;USD;147149300,779200
RTSI;RTSI;2015-02-06;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;826,4;805,36;832,66;804,36;810342828,65;;;2;121604475547,0563;USD;147149300,779200
RTSI;RTSI;2015-02-05;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;804,5;765,11;807,65;753,37;700816944,16;;;2;118381293606,9997;USD;147149300,779200
RTSI;RTSI;2015-02-04;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;770,63;797,84;809,96;766,18;424775044,84;;;2;113398013271,3051;USD;147149300,779200
RTSI;RTSI;2015-02-03;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;786,69;752,72;787,82;752,72;544789716,49;;;2;115761129920,3508;USD;147149300,779200
RTSI;RTSI;2015-02-02;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;745,82;754,84;760,07;725,17;619268207,82;;;2;109746170984,9176;USD;147149300,779200
RTSI;RTSI;2015-01-30;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;737,35;751,79;764,59;720,31;597068950,16;;;2;108499918822,5812;USD;147149300,779200
RTSI;RTSI;2015-01-29;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;747,45;762,85;769,31;747,45;556437828,39;;;2;109987188424,0957;USD;147149300,779200
RTSI;RTSI;2015-01-28;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;765,37;790,52;803,54;762,88;632473898,36;;;2;112623807613,6694;USD;147149300,779200
RTSI;RTSI;2015-01-27;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;783,53;756,36;785,25;743,39;650195670,53;;;2;115296223667,9992;USD;147149300,779200
RTSI;RTSI;2015-01-26;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;781,31;815,99;815,99;777,21;560695927,78;;;2;114968851542,3465;USD;147149300,779200
RTSI;RTSI;2015-01-23;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;820,99;821,41;845,65;817,06;689548312,59;;;2;120807528253,2912;USD;147149300,779200
RTSI;RTSI;2015-01-22;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;817,14;782,68;821,34;778,57;766495786,24;;;2;120241093999,4581;USD;147149300,779200
